slug,key,value,osmium_tag_filter,nom en français dans ID,lien wiki,description en français dans taginfo,lien data item,modifié dans les data items ?,nsi_path,osmose_missing_item,osmose_missing_class,mots clefs à chercher dans les notes,mots clefs pour chercher dans l'auto-complétion,début du message pour les commerces déjà mappés,catégories proches peut-être à afficher aussi sur la page ?
shop/tea,shop,tea,nw/shop=tea,Magasin de thés,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dtea,Shop selling tea,http://wiki.openstreetmap.org/entity/Q5713,,brands/shop/tea,,,,,,
shop/fabric,shop,fabric,nw/shop=fabric,Magasin de tissus,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dfabric,A shop that sells fabric,http://wiki.openstreetmap.org/entity/Q5084,,brands/shop/fabric,8310,['47.51Z'],,,,
shop/bicycle,shop,bicycle,nw/shop=bicycle,Magasin de vélos,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dbicycle,Une boutique ou vous pouvez acheter ou réparer votre vélo ou des accessoires.,http://wiki.openstreetmap.org/entity/Q5031,,brands/shop/bicycle,8310,['47.64Z'],,,,
shop/alcohol,shop,alcohol,nw/shop=alcohol,Magasin de vente d'alcool,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dalcohol,Boutique de vente d'alcool.,http://wiki.openstreetmap.org/entity/Q4857,,brands/shop/alcohol,8310,['47.25Z'],,,,"alcohol, wine, beverages"
shop/clothes,shop,clothes,nw/shop=clothes,Magasin de vêtements,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dclothes,Un magasin de vêtements,,,brands/shop/clothes,8310,['47.71Z'],,,,
shop/art,shop,art,nw/shop=art,Marchand d'art,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dart,,http://wiki.openstreetmap.org/entity/Q5115,,brands/shop/art,,,,,,
shop/greengrocer,shop,greengrocer,nw/shop=greengrocer,Marchand de fruits et légumes,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dgreengrocer,Un magasin qui vend des fruits et légumes,,modifié,brands/shop/greengrocer,8310,"['47.11B', '47.11C', '47.21Z']",,,,
shop/leather,shop,leather,nw/shop=leather,Maroquinier,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dleather,A shop for products made out of leather,http://wiki.openstreetmap.org/entity/Q5765,,brands/shop/leather,8310,['47.72B'],,,,
shop/optician,shop,optician,nw/shop=optician,Opticien,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Doptician,"Un magasin qui vend, ajuste et répare des lunettes et des lentilles de contact sur ordonnance.",,modfié,brands/shop/optician,8310,['47.78A'],,,,audioprothésistes
shop/stationery,shop,stationery,nw/shop=stationery,Papeterie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dstationery,Un magasin qui vend des fournitures de bureau,,,brands/shop/stationery,8310,['47.62Z'],,,,
